model,dataset,prompt_condition,n_observed,n_recovered,n_correct,n_instruction_compliant,answer_recovery_rate,accuracy,conditional_accuracy,instruction_compliant_rate,unknown_rate
gemma3:4b,arc_challenge,P0,200,200,150,200,1.0,0.75,0.75,1.0,0.0
gemma3:4b,arc_challenge,P1,200,200,148,200,1.0,0.74,0.74,1.0,0.0
gemma3:4b,arc_challenge,P2,200,200,149,200,1.0,0.745,0.745,1.0,0.0
gemma3:4b,arc_challenge,P3,200,200,147,200,1.0,0.735,0.735,1.0,0.0
gemma3:4b,arc_challenge,P4,200,200,144,200,1.0,0.72,0.72,1.0,0.0
gemma3:4b,sciq,P0,200,200,177,200,1.0,0.885,0.885,1.0,0.0
gemma3:4b,sciq,P1,200,199,177,199,0.995,0.885,0.8894,0.995,0.005
gemma3:4b,sciq,P2,200,200,178,200,1.0,0.89,0.89,1.0,0.0
gemma3:4b,sciq,P3,200,200,175,200,1.0,0.875,0.875,1.0,0.0
gemma3:4b,sciq,P4,200,200,178,200,1.0,0.89,0.89,1.0,0.0
llama3.2:3b,arc_challenge,P0,200,200,140,200,1.0,0.7,0.7,1.0,0.0
llama3.2:3b,arc_challenge,P1,200,200,141,200,1.0,0.705,0.705,1.0,0.0
llama3.2:3b,arc_challenge,P2,200,199,131,180,0.995,0.655,0.6583,0.9,0.005
llama3.2:3b,arc_challenge,P3,200,199,140,190,0.995,0.7,0.7035,0.95,0.005
llama3.2:3b,arc_challenge,P4,200,200,138,143,1.0,0.69,0.69,0.715,0.0
llama3.2:3b,sciq,P0,200,200,176,200,1.0,0.88,0.88,1.0,0.0
llama3.2:3b,sciq,P1,200,199,177,199,0.995,0.885,0.8894,0.995,0.005
llama3.2:3b,sciq,P2,200,200,178,197,1.0,0.89,0.89,0.985,0.0
llama3.2:3b,sciq,P3,200,198,176,194,0.99,0.88,0.8889,0.97,0.01
llama3.2:3b,sciq,P4,200,199,177,181,0.995,0.885,0.8894,0.905,0.005
mistral:7b,arc_challenge,P0,200,200,146,13,1.0,0.73,0.73,0.065,0.0
mistral:7b,arc_challenge,P1,200,200,147,71,1.0,0.735,0.735,0.355,0.0
mistral:7b,arc_challenge,P2,200,200,140,114,1.0,0.7,0.7,0.57,0.0
mistral:7b,arc_challenge,P3,200,200,151,8,1.0,0.755,0.755,0.04,0.0
mistral:7b,arc_challenge,P4,200,200,147,32,1.0,0.735,0.735,0.16,0.0
mistral:7b,sciq,P0,200,199,176,22,0.995,0.88,0.8844,0.11,0.005
mistral:7b,sciq,P1,200,200,173,65,1.0,0.865,0.865,0.325,0.0
mistral:7b,sciq,P2,200,200,171,125,1.0,0.855,0.855,0.625,0.0
mistral:7b,sciq,P3,200,200,173,9,1.0,0.865,0.865,0.045,0.0
mistral:7b,sciq,P4,200,199,172,41,0.995,0.86,0.8643,0.205,0.005
phi4-mini:latest,arc_challenge,P0,200,196,164,9,0.98,0.82,0.8367,0.045,0.02
phi4-mini:latest,arc_challenge,P1,200,200,161,27,1.0,0.805,0.805,0.135,0.0
phi4-mini:latest,arc_challenge,P2,200,197,160,50,0.985,0.8,0.8122,0.25,0.015
phi4-mini:latest,arc_challenge,P3,200,199,157,6,0.995,0.785,0.7889,0.03,0.005
phi4-mini:latest,arc_challenge,P4,200,198,166,9,0.99,0.83,0.8384,0.045,0.01
phi4-mini:latest,sciq,P0,200,200,185,21,1.0,0.925,0.925,0.105,0.0
phi4-mini:latest,sciq,P1,200,200,187,26,1.0,0.935,0.935,0.13,0.0
phi4-mini:latest,sciq,P2,200,198,184,53,0.99,0.92,0.9293,0.265,0.01
phi4-mini:latest,sciq,P3,200,200,188,3,1.0,0.94,0.94,0.015,0.0
phi4-mini:latest,sciq,P4,200,200,187,6,1.0,0.935,0.935,0.03,0.0
